Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-07-17,6401.3,5683.5,6254.6,6254.0,6254.0,6255.2,3003.03103947
2018-07-16,5728.84595076,5415.0,5689.4,5689.4,5689.3,5689.5,2322.52173501
2018-07-15,5465.10510883,5333.6,5440.7,5444.44638353,5440.6,5440.8,896.0404556
2018-07-14,5406.69971359,5286.9,5346.95,5346.89998417,5346.9,5347.0,682.03793717
2018-07-13,5428.7,5212.8,5308.6,5305.75024189,5308.5,5308.7,1582.2096163
2018-07-12,5461.0,5248.24272034,5272.3,5276.13619319,5272.2,5272.4,1327.71699664
2018-07-11,5463.1,5334.2,5459.6,5461.0,5459.5,5459.7,1354.96465918
2018-07-10,5703.0587552,5402.92572045,5420.65,5426.27497826,5420.6,5420.7,2066.08599222
2018-07-09,5801.78765838,5665.3,5698.8,5698.77433604,5698.7,5698.9,1321.80308971
2018-07-08,5818.52695481,5612.9215212,5744.55,5747.64876944,5744.5,5744.6,3192.9387675
2018-07-07,5641.28587729,5545.80002041,5637.6,5633.3,5637.5,5637.7,1182.3067635
2018-07-06,5665.1,5506.7298942,5601.7,5598.6,5601.6,5601.8,1238.42779204
2018-07-05,5744.2972581,5498.4,5590.4,5588.5038185,5590.3,5590.5,2084.07849259
2018-07-04,5824.6062384,5495.3,5727.6,5731.03308,5727.5,5727.7,2554.61329004
2018-07-03,5735.9,5563.8,5583.7,5581.9,5583.6,5583.8,1305.84612128
2018-07-02,5752.6,5386.8312794,5696.2,5695.2515179,5696.1,5696.3,1760.17795138
2018-07-01,5511.8,5355.0,5450.1,5454.6,5450.0,5450.2,619.57229341
2018-06-30,5592.6,5299.8,5421.3,5421.4650116,5421.2,5421.4,894.31537847
2018-06-29,5390.7,4958.2,5329.6,5334.0,5329.5,5329.7,2673.1277848
2018-06-28,5353.3,5092.2,5122.7,5122.7,5122.6,5122.8,1249.3698521
2018-06-27,5333.6,5156.7,5308.2,5306.8099263,5308.1,5308.3,1305.87784995
2018-06-26,5375.5,5237.8954005,5287.6,5287.6,5287.5,5287.7,1093.98933765
2018-06-25,5423.7,5192.3,5329.0,5335.4710431,5328.9,5329.1,1650.02785114
2018-06-24,5357.2,4940.0,5276.05,5275.3150011,5276.0,5276.1,1355.32389102
2018-06-23,5369.0,5158.6,5306.25,5309.465716,5306.2,5306.3,717.83393824
2018-06-22,5804.5,5075.6,5197.9,5197.920516,5197.8,5198.0,3306.07947136
2018-06-21,5883.547068,5760.3249152,5798.7,5804.5,5798.6,5798.8,1119.74000728
2018-06-20,5887.0,5664.8922792,5808.3,5808.3,5808.2,5808.4,1518.25312845
2018-06-19,5917.6052,5738.2,5806.7,5806.5664848,5806.5,5806.9,1373.93096006
2018-06-18,5900.0,5496.7,5771.2,5771.09898,5771.1,5771.3,1808.2764322
2018-06-17,5663.9,5537.2,5588.45,5570.8,5588.4,5588.5,492.08985129
2018-06-16,5649.8,5432.8,5626.4,5625.6,5626.3,5626.5,610.18308483
2018-06-15,5796.8,5520.0,5552.0,5551.958872,5551.9,5552.1,1726.99813426
2018-06-14,5804.2,5314.1,5689.2,5693.18022,5689.1,5689.3,2412.61677969
2018-06-13,5628.5468217,5181.3,5357.9,5357.830619,5357.8,5358.0,2883.97715507
2018-06-12,5856.0,5477.6,5556.15,5556.3342968,5556.1,5556.2,1790.73349905
2018-06-11,5778.8427411,5612.5961955,5747.05,5747.0,5747.0,5747.1,1384.44530825
2018-06-10,6469.5,5621.06186,5688.15,5688.3,5688.1,5688.2,2353.71824432
2018-06-09,6527.8,6431.9,6442.5,6439.3186368,6442.4,6442.6,348.25185853
2018-06-08,6521.0810555,6418.7568037,6494.1,6489.4,6494.0,6494.2,819.72631369
2018-06-07,6576.539912,6459.2145849,6481.2,6483.0388714,6481.1,6481.3,949.49720634
2018-06-06,6562.537302,6366.3,6493.55,6488.6,6493.5,6493.6,1680.05468296
2018-06-05,6545.2,6306.1,6500.7,6500.11014,6500.6,6500.8,1682.48568927
2018-06-04,6643.1,6367.1,6416.25,6418.2244302,6416.2,6416.3,1456.68878989
2018-06-03,6667.0,6514.8361204,6598.6,6599.4036612,6598.5,6598.7,800.64043379
2018-06-02,6598.7,6381.8,6529.45,6531.2,6529.4,6529.5,845.69557581
2018-06-01,6503.6,6267.9,6438.5,6440.0879316,6438.4,6438.6,1840.89100894
2018-05-31,6506.278998,6286.4,6353.7,6346.3677585,6353.6,6353.8,1529.99555026
2018-05-30,6550.0,6237.7,6299.9,6299.968722,6299.8,6300.0,1292.11413125
2018-05-29,6528.7459692,6058.63808,6438.55,6438.5874,6438.5,6438.6,1685.21579206
2018-05-28,6342.2,6072.9,6092.0,6090.0,6091.4,6092.6,1303.2555126
2018-05-27,6363.3,6186.0,6266.4,6274.0,6266.3,6266.5,579.0543807
2018-05-26,6534.6,6260.2,6281.0,6284.1,6280.9,6281.1,295.13883674
